Folder,AIME_exact_match_accuracy,AIME_llm_check_result_accuracy,AMC_exact_match_accuracy,AMC_llm_check_result_accuracy,Olympiad_exact_match_accuracy,Olympiad_llm_check_result_accuracy,hendrycks_math_500_exact_match_accuracy,hendrycks_math_500_llm_check_result_accuracy,gsm8k
Qwen2.5-7B-Instruct,10.00%,16.67%,0.00%,40.00%,25.48%,39.85%,73.00%,76.80%,82.18%
Qwen2.5-7B-Instruct SFT,3.33%,6.67%,0.00%,42.50%,19.56%,27.26%,61.20%,64.20%,80.82%
Qwen2.5-7B-Instruct Cascade,3.33%,3.33%,0.00%,32.50%,18.67%,26.07%,58.00%,60.40%,79.91%
Qwen2.5-1.5B-Instruct,0.00%,3.33%,0.00%,30.00%,12.74%,20.30%,47.20%,49.40%,66.34%
Qwen2.5-1.5B-Instruct SFT,0.00%,0.00%,0.00%,12.50%,4.15%,6.22%,26.40%,27.60%,48.67%
Qwen2.5-1.5B-Instruct Cascade,0.00%,0.00%,0.00%,10.00%,2.96%,4.15%,22.40%,23.00%,52.54%
Qwen2.5-3B-Instruct,0.00%,6.67%,0.00%,35.00%,18.52%,28.30%,62.80%,65.80%,76.80%
Qwen2.5-3B,3.33%,3.33%,0.00%,25.00%,15.41%,23.11%,47.80%,50.00%,69.07%
Qwen2.5-3B SFT,3.33%,3.33%,0.00%,30.00%,10.81%,14.37%,43.80%,45.00%,67.02%
Qwen2.5-3B Cascade,0.00%,0.00%,0.00%,17.50%,7.70%,10.07%,33.20%,34.40%,63.91%
Llama-3.2-3B-Instruct,13.33%,16.67%,0.00%,20.00%,9.63%,14.52%,44.60%,46.80%,70.13%
Llama-3.2-3B-Instruct SFT,3.33%,3.33%,0.00%,17.50%,7.41%,9.78%,36.00%,37.60%,68.99%
Llama-3.2-3B-Instruct Cascade,0.00%,0.00%,0.00%,10.00%,6.37%,7.85%,28.60%,29.40%,67.48%
